"Season","GameDate","TeamName","OpponentName","Score","GameId"
1967,1968-02-17,"Hamburger SV","VfL Lübeck-Schwartau","28:16","bf99f38a-3960-11ef-b8d4-d3de5c174a65"
1967,1967-10-21,"Berliner SV 1892","S3L Handball","9:18","c1cf6d95-3960-11ef-919a-d3de5c174a65"
1967,1968-03-09,"TSV Birkenau","FRISCH AUF! Göppingen","23:17","c32ff13a-3960-11ef-a38a-d3de5c174a65"
1967,1968-02-10,"Berliner SV 1892","TSV Birkenau","15:12","c2fe32fd-3960-11ef-9321-d3de5c174a65"
1967,1968-02-02,"Polizei SV Hannover","Hamburger SV","10:9","bf8b522d-3960-11ef-a0ed-d3de5c174a65"
1967,1968-01-13,"FRISCH AUF! Göppingen","Berliner SV 1892","25:12","c47a5fc1-3960-11ef-8490-d3de5c174a65"
1967,1967-11-18,"GWD Minden","Polizei SV Hannover","21:15","b8cdfa5e-3960-11ef-a264-2906cc9fb6bc"
1967,1968-01-20,"GWD Minden","THW Kiel","14:12","b91c67c0-3960-11ef-a776-2906cc9fb6bc"
1967,1967-12-02,"Hamburger SV","THW Kiel","11:7","b996d23f-3960-11ef-ba15-2906cc9fb6bc"
1967,1967-11-11,"FRISCH AUF! Göppingen","TV Hochdorf","11:7","c11c4e0c-3960-11ef-8868-d3de5c174a65"
1967,1967-10-14,"S3L Handball","TuS 1860 Neunkirchen","23:15","c1c044fa-3960-11ef-bcc3-d3de5c174a65"
1967,1968-02-03,"GWD Minden","VfL Lübeck-Schwartau","33:13","b92a9213-3960-11ef-94f5-2906cc9fb6bc"
1967,1967-12-09,"TV Hochdorf","S3L Handball","15:25","c1485612-3960-11ef-badb-d3de5c174a65"
1967,1968-02-17,"S3L Handball","SpVgg 1887 Möhringen","24:12","c2479d8e-3960-11ef-a985-d3de5c174a65"
1967,1968-01-20,"TuS 05 Wellinghofen","Hamburger SV","18:14","bf7dbdd3-3960-11ef-b274-d3de5c174a65"
1967,1967-10-14,"SpVgg 1887 Möhringen","TSV Birkenau","14:13","c27504a3-3960-11ef-ad3a-d3de5c174a65"
1967,1967-11-29,"TuS 05 Wellinghofen","GWD Minden","12:10","b8ece66c-3960-11ef-a256-2906cc9fb6bc"
1967,1967-12-10,"THW Kiel","Polizei SV Hannover","12:6","c061eef2-3960-11ef-aea2-d3de5c174a65"
1967,1968-03-22,"S3L Handball","VfL Gummersbach","20:13","b8911411-3960-11ef-bb62-2906cc9fb6bc"
1967,1968-03-09,"Hamburger SV","BSV Solingen 1898","15:15","bfb669e5-3960-11ef-8c0e-d3de5c174a65"
1967,1968-01-13,"TSV Birkenau","SpVgg 1887 Möhringen","23:12","c2def3c9-3960-11ef-a5bb-d3de5c174a65"
1967,1967-10-22,"TuS 05 Wellinghofen","VfL Lübeck-Schwartau","15:10","bfd339f2-3960-11ef-ac0c-d3de5c174a65"
1967,1967-11-11,"GWD Minden","Hamburger SV","18:9","b8be33f0-3960-11ef-9888-2906cc9fb6bc"
1967,1968-01-20,"Polizei SV Hannover","VfL Lübeck-Schwartau","8:8","c071ed16-3960-11ef-80f8-d3de5c174a65"
1967,1968-02-03,"S3L Handball","TSV Birkenau","21:12","c239717d-3960-11ef-a8a2-d3de5c174a65"
1967,1967-10-22,"Polizei SV Hannover","THW Kiel","15:18","c0379524-3960-11ef-b375-d3de5c174a65"
1967,1968-02-21,"TuS 05 Wellinghofen","VfL Gummersbach","12:14","b845ceab-3960-11ef-9f2b-2906cc9fb6bc"
1967,1967-11-18,"FRISCH AUF! Göppingen","TSV Birkenau","16:10","c29adc8b-3960-11ef-bfdb-d3de5c174a65"
1967,1967-11-22,"THW Kiel","GWD Minden","16:15","b8ddcc36-3960-11ef-a0b5-2906cc9fb6bc"
1967,1968-02-10,"FRISCH AUF! Göppingen","SpVgg 1887 Möhringen","19:13","c45f8fce-3960-11ef-9d3c-d3de5c174a65"
1967,1968-02-03,"SpVgg 1887 Möhringen","Berliner SV 1892","14:14","c452fe78-3960-11ef-b952-d3de5c174a65"
1967,1967-11-04,"Hamburger SV","TuS 05 Wellinghofen","15:16","b97a0935-3960-11ef-8b33-2906cc9fb6bc"
1967,1968-02-10,"Füchse Berlin","TuS 1860 Neunkirchen","22:13","c3a41911-3960-11ef-a876-d3de5c174a65"
1967,1967-12-02,"TSV Birkenau","Füchse Berlin","14:11","c2af9187-3960-11ef-badb-d3de5c174a65"
1967,1968-02-24,"Berliner SV 1892","TuS 1860 Neunkirchen","12:19","c4057801-3960-11ef-9014-d3de5c174a65"
1967,1968-03-09,"TuS 1860 Neunkirchen","SpVgg 1887 Möhringen","19:9","c418ec40-3960-11ef-b627-d3de5c174a65"
1967,1967-11-04,"TSV Birkenau","S3L Handball","14:8","c1deabd3-3960-11ef-ac49-d3de5c174a65"
1967,1968-02-03,"FRISCH AUF! Göppingen","Füchse Berlin","21:17","c391f8d7-3960-11ef-a752-d3de5c174a65"
1967,1968-02-17,"Füchse Berlin","Berliner SV 1892","16:13","c3b410bb-3960-11ef-8873-d3de5c174a65"
1967,1967-11-05,"Füchse Berlin","FRISCH AUF! Göppingen","20:25","c3560f76-3960-11ef-8045-d3de5c174a65"
1967,1967-10-21,"Füchse Berlin","SpVgg 1887 Möhringen","18:15","c34443bf-3960-11ef-9cee-d3de5c174a65"
